COURSE,TITLE,REQUISITES,DESCRIPTION
AAPS300,Education Equity in Crisis: Cross Cultural Exploration of Corporate Social Responsibility,Restriction: Must have a minimum cumulative GPA of 2.50.,"Explores potential barriers to education equity relative to the experience of marginalized communities in the United States and Ghana currently and post-COVID19. Corporate initiatives to support access to education, especially through the provision of financial or technical resources to enable teaching and learning in a remote environment will be considered and will inform a cross-cultural understanding of the practice of Corporate Social Responsibility (CSR)."
AASP101,Public Policy and the Black Community,Formerly: AASP300.,"The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era."
AASP187,"The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial Complex",Recommended: AASP100.,"Students will examine the birth of the racial caste system following the abolition of slavery, the parallels between the racial hierarchy of the Jim Crow system and contemporary mass incarceration, and the rise of the prison industrial complex as a multi-billon business which thrives on the oppression of low-income populations and poor communities of color."
AASP211,Get Out: The Sunken Place of Race Relations in the Post-Racial Era,Credit only granted for: AASP298G or AASP211. Formerly: AASP298G.,"Prevailing thought suggests that we live in an era that is post-racial, particularly after the election of Barack Obama. Media often serves to drive our assessment of where our nation stands on issues like race, gender and sexuality. This course uses the film Get Out to delve into the production, evolution and significance of race in present day America. The course will engage multiple forms of media to investigate life in ""Post-Racial"" America, including but not limited to the role of stereotypes, interracial relationships, police-community relations, etc."
AASP255,"African-American History, 1865 - Present","Cross-listed with: HIST255. Credit only granted for: HIST255, AASP255 or AASP298A.","An introductory course in the African-American experience in the United States from 1865 to the present. Topics include the aftermath of the Civil War on US race relations, the rise of segregation, northern migration, World War I and II, Civil Rights Movements, and the Black Power Movement."
AASP258,Special Topics in Study Abroad I,Repeatable to 15 credits if content differs.,Special topics course taken as part of an approved study abroad program.
AASP263,Introduction to Black Women's Studies,"Cross-listed with: WGSS263. Credit only granted for: WMST263, AASP298I, WGSS263 or AASP263. Formerly: WMST263.","Interdisciplinary exploration of Black women, culture and society in the United States. Drawn primarily from the social sciences and history with complementary material from literature and the arts."
AASP264,Quare/Queer Contentions: Exploration of Sexualities in the Black Community,"Cross-listed with: LGBT264, WGSS264. Credit only granted for: LGBT264, AASP264, WMST264 or WGSS264.","Centering the subjectivities of queer people of color generally and more specifically, Black people (as the word ""quare"" invites us to do), Quare/Queer Contentions takes up key moments within the history of the Black community and asks us to consider the work and presence of LGBTQ people in these moments.  The course also contends with the everyday experiences of LGBTQ subjects in the Black community.  Quare/Queer Contentions, therefore, interrogates the material realities of Black queer people in the context of family, religion, cultural/creative work, among others. Interdisciplinary in orientation, the course will employ primary and secondary texts, film, art, autobiographical narratives and policy data."
AASP265,Constructions of Manhood and Womanhood in the Black Community,"Cross-listed with: WGSS265. Credit only granted for: WMST265, AASP298B, WGSS265 or AASP265. Formerly: WMST265.",Investigates the ways that African Americans are represented and constructed in public and private spheres and explores the social constructions and representations of Black manhood and womanhood from various disciplinary perspectives.
AASP274,Creative Writing Through The Eyes of African Americans: A Beginning Workshop,"Restriction: Must not have completed ENGL271, ENGL274, ENGL294,or AASP274.  Cross-listed with ENGL274.  Credit only granted for: ENGL274  or AASP274.","Introduction to theory and practice of writing fiction, drama and poetry, with an emphasis on African American literary models. Critical reading, exercises and workshop discussions with continual reference to modeling, drafting, and revising as necessary stages in a creative process."
